first,second
a_Aamir Bashir,a_Anupam Kher
a_Aamir Bashir,a_Jimmy Sheirgill
a_Aamir Bashir,a_Naseeruddin Shah
a_Aamir Khan,a_Akshaye Khanna
a_Aamir Khan,a_Amole Gupte
a_Aamir Khan,a_Anushka Sharma
a_Aamir Khan,a_Boman Irani
a_Aamir Khan,a_Darsheel Safary
a_Aamir Khan,a_Fatima Sana Shaikh
a_Aamir Khan,a_Gracy Singh
a_Aamir Khan,a_Karisma Kapoor
a_Aamir Khan,a_Madhavan
a_Aamir Khan,a_Mona Singh
a_Aamir Khan,a_Preity Zinta
a_Aamir Khan,a_Rachel Shelley
a_Aamir Khan,a_Raghuvir Yadav
a_Aamir Khan,a_Raveena Tandon
a_Aamir Khan,a_Saif Ali Khan
a_Aamir Khan,a_Sakshi Tanwar
a_Aamir Khan,a_Salman Khan
a_Aamir Khan,a_Sanjay Dutt
a_Aamir Khan,a_Sanya Malhotra
a_Aamir Khan,a_Sharman Joshi
a_Aamir Khan,a_Siddharth
a_Aamir Khan,a_Soha Ali Khan
a_Aamir Khan,a_Tisca Chopra
a_Aaron Eckhart,a_Christian Bale
a_Aaron Eckhart,a_Heath Ledger
a_Aaron Eckhart,a_Michael Caine
a_Aaron Taylor-Johnson,a_Chloë Grace Moretz
a_Aaron Taylor-Johnson,a_Garrett M. Brown
a_Aaron Taylor-Johnson,a_Nicolas Cage
a_Abdel Ahmed Ghili,a_Hubert Koundé
a_Abdel Ahmed Ghili,a_Saïd Taghmaoui
a_Abdel Ahmed Ghili,a_Vincent Cassel
a_Abhay Deol,a_Dibyendu Bhattacharya
a_Abhay Deol,a_Farhan Akhtar
a_Abhay Deol,a_Hrithik Roshan
a_Abhay Deol,a_Kalki Koechlin
a_Abhay Deol,a_Katrina Kaif
a_Abhay Deol,a_Mahie Gill
a_Abigail Breslin,a_Emma Stone
a_Abigail Breslin,a_Jesse Eisenberg
a_Abigail Breslin,a_Woody Harrelson
a_Abraham Attah,a_Andrew Adote
a_Abraham Attah,a_Emmanuel Affadzi
a_Abraham Attah,a_Ricky Adelayitor
a_Adam Baldwin,a_Matthew Modine
a_Adam Baldwin,a_R. Lee Ermey
a_Adam Baldwin,a_Vincent D'Onofrio
a_Adam Driver,a_Azhy Robertson
a_Adam Driver,a_Julia Greer
a_Adam Driver,a_Scarlett Johansson
a_Adel Bencherif,a_Niels Arestrup
a_Adel Bencherif,a_Reda Kateb
a_Adel Bencherif,a_Tahar Rahim
a_Adesh Prasad,a_Anand Gandhi
a_Adesh Prasad,a_Jyoti Malshe
a_Adesh Prasad,a_Sohum Shah
a_Adil Hussain,a_Irrfan Khan
a_Adil Hussain,a_Mehdi Nebbou
a_Adil Hussain,a_Priya Anand
a_Adil Hussain,a_Sridevi
a_Adil Hussain,a_Suraj Sharma
a_Adil Hussain,a_Tabu
a_Adolphe Menjou,a_George Macready
a_Adolphe Menjou,a_Kirk Douglas
a_Adolphe Menjou,a_Ralph Meeker
a_Adrian Molina,a_Anthony Gonzalez
a_Adrian Molina,a_Benjamin Bratt
a_Adrian Molina,a_Gael García Bernal
a_Adrien Brody,a_Christina Hendricks
a_Adrien Brody,a_Emilia Fox
a_Adrien Brody,a_F. Murray Abraham
a_Adrien Brody,a_Frank Finlay
a_Adrien Brody,a_Lucy Liu
a_Adrien Brody,a_Marcia Gay Harden
a_Adrien Brody,a_Mathieu Amalric
a_Adrien Brody,a_Ralph Fiennes
a_Adrien Brody,a_Thomas Kretschmann
a_Adèle Exarchopoulos,a_Aurélien Recoing
a_Adèle Exarchopoulos,a_Léa Seydoux
a_Adèle Exarchopoulos,a_Salim Kechiouche
a_Adèle Haenel,a_Luàna Bajrami
a_Adèle Haenel,a_Noémie Merlant
a_Adèle Haenel,a_Valeria Golino
a_Agnes Moorehead,a_Dorothy Comingore
a_Agnes Moorehead,a_Joseph Cotten
a_Agnes Moorehead,a_Orson Welles
a_Ahmet Mümtaz Taylan,a_Muhammet Uzuner
a_Ahmet Mümtaz Taylan,a_Taner Birsel
a_Ahmet Mümtaz Taylan,a_Yilmaz Erdogan
a_Ahna Capri,a_Bruce Lee
a_Ahna Capri,a_Jim Kelly
a_Ahna Capri,a_John Saxon
a_Ahney Her,a_Bee Vang
a_Ahney Her,a_Christopher Carley
a_Ahney Her,a_Clint Eastwood
a_Aidan Gillen,a_Ferdia Walsh-Peelo
a_Aidan Gillen,a_Jack Reynor
a_Aidan Gillen,a_Maria Doyle Kennedy
a_Aitana Sánchez-Gijón,a_Christian Bale
a_Aitana Sánchez-Gijón,a_Jennifer Jason Leigh
a_Aitana Sánchez-Gijón,a_John Sharian
a_Ajay Devgn,a_Rajat Kapoor
a_Ajay Devgn,a_Shriya Saran
a_Ajay Devgn,a_Tabu
a_Ajay Naidu,a_David Herman
a_Ajay Naidu,a_Jennifer Aniston
a_Ajay Naidu,a_Ron Livingston
a_Akemi Yamaguchi,a_Ayano Shiraishi
a_Akemi Yamaguchi,a_Tsutomu Tatsumi
a_Akemi Yamaguchi,a_Yoshiko Shinohara
a_Aki Maeda,a_Takeshi Kitano
a_Aki Maeda,a_Tarô Yamamoto
a_Aki Maeda,a_Tatsuya Fujiwara
a_Akihiro Miwa,a_Chieko Baishô
a_Akihiro Miwa,a_Takuya Kimura
a_Akihiro Miwa,a_Tatsuya Gashûin
a_Akio Ôtsuka,a_Atsuko Tanaka
a_Akio Ôtsuka,a_Iemasa Kayumi
a_Akio Ôtsuka,a_Kôichi Yamadera
a_Akira Ishihama,a_Shima Iwashita
a_Akira Ishihama,a_Tatsuya Nakadai
a_Akira Ishihama,a_Tetsurô Tanba
a_Akira Terao,a_Daisuke Ryû
a_Akira Terao,a_Jinpachi Nezu
a_Akira Terao,a_Tatsuya Nakadai
a_Akshay Kumar,a_Anupam Kher
a_Akshay Kumar,a_Danny Denzongpa
a_Akshay Kumar,a_Jimmy Sheirgill
a_Akshay Kumar,a_Kumud Mishra
a_Akshay Kumar,a_Mahesh Manjrekar
a_Akshay Kumar,a_Manoj Bajpayee
a_Akshay Kumar,a_Mithun Chakraborty
a_Akshay Kumar,a_Nimrat Kaur
a_Akshay Kumar,a_Paresh Rawal
a_Akshay Kumar,a_Prakash Belawadi
a_Akshay Kumar,a_Rana Daggubati
a_Akshay Kumar,a_Sunil Shetty
a_Akshay Kumar,a_Taapsee Pannu
a_Akshay Kumar,a_Tabu
a_Akshaye Khanna,a_Preity Zinta
a_Akshaye Khanna,a_Saif Ali Khan
a_Al Ernest Garcia,a_Charles Chaplin
a_Al Ernest Garcia,a_Harry Crocker
a_Al Ernest Garcia,a_Merna Kennedy
a_Al Pacino,a_Alan Arkin
a_Al Pacino,a_Alec Baldwin
a_Al Pacino,a_Andy Garcia
a_Al Pacino,a_Biff McGuire
a_Al Pacino,a_Bruno Kirby
a_Al Pacino,a_Chris O'Donnell
a_Al Pacino,a_Christopher Plummer
a_Al Pacino,a_Diane Keaton
a_Al Pacino,a_Diane Venora
a_Al Pacino,a_Gabrielle Anwar
a_Al Pacino,a_Harvey Keitel
a_Al Pacino,a_Jack Kehoe
a_Al Pacino,a_Jack Lemmon
a_Al Pacino,a_James Caan
a_Al Pacino,a_James Rebhorn
a_Al Pacino,a_Joe Pesci
a_Al Pacino,a_John Cazale
a_Al Pacino,a_John Leguizamo
a_Al Pacino,a_John Randolph
a_Al Pacino,a_Johnny Depp
a_Al Pacino,a_Jon Voight
a_Al Pacino,a_Marlon Brando
a_Al Pacino,a_Mary Elizabeth Mastrantonio
a_Al Pacino,a_Michael Madsen
a_Al Pacino,a_Michelle Pfeiffer
a_Al Pacino,a_Penelope Allen
a_Al Pacino,a_Penelope Ann Miller
a_Al Pacino,a_Robert De Niro
a_Al Pacino,a_Robert Duvall
a_Al Pacino,a_Russell Crowe
a_Al Pacino,a_Sean Penn
a_Al Pacino,a_Steven Bauer
a_Al Pacino,a_Sully Boyar
a_Al Pacino,a_Talia Shire
a_Al Pacino,a_Val Kilmer
a_Alain Delon,a_Cathy Rosier
a_Alain Delon,a_François Périer
a_Alain Delon,a_Nathalie Delon
a_Alakina Mann,a_Christopher Eccleston
a_Alakina Mann,a_Fionnula Flanagan
a_Alakina Mann,a_Nicole Kidman
a_Alan Alda,a_Amy Ryan
a_Alan Alda,a_Mark Rylance
a_Alan Alda,a_Tom Hanks
a_Alan Arkin,a_Alec Baldwin
a_Alan Arkin,a_Audrey Hepburn
a_Alan Arkin,a_Ben Affleck
a_Alan Arkin,a_Bryan Cranston
a_Alan Arkin,a_Efrem Zimbalist Jr.
a_Alan Arkin,a_Jack Lemmon
a_Alan Arkin,a_John Goodman
a_Alan Arkin,a_Richard Crenna
a_Alan Badel,a_Edward Fox
a_Alan Badel,a_Michel Auclair
a_Alan Badel,a_Terence Alexander
a_Alan Mak,a_Andy Lau
a_Alan Mak,a_Anthony Chau-Sang Wong
a_Alan Mak,a_Tony Chiu-Wai Leung
a_Alan Randolph Scott,a_Gena Rowlands
a_Alan Randolph Scott,a_Lisanne Falk
a_Alan Randolph Scott,a_Winona Ryder
a_Alan Rickman,a_Bonnie Bedelia
a_Alan Rickman,a_Bruce Willis
a_Alan Rickman,a_Reginald VelJohnson
a_Alan Ruck,a_Jeffrey Jones
a_Alan Ruck,a_Matthew Broderick
a_Alan Ruck,a_Mia Sara
a_Alan Tudyk,a_Chiwetel Ejiofor
a_Alan Tudyk,a_Diego Luna
a_Alan Tudyk,a_Donnie Yen
a_Alan Tudyk,a_Felicity Jones
a_Alan Tudyk,a_Gina Torres
a_Alan Tudyk,a_Nathan Fillion
a_Albert Brooks,a_Alexander Gould
a_Albert Brooks,a_Bryan Cranston
a_Albert Brooks,a_Carey Mulligan
a_Albert Brooks,a_Cybill Shepherd
a_Albert Brooks,a_Ellen DeGeneres
a_Albert Brooks,a_Jodie Foster
a_Albert Brooks,a_Lee Unkrich
a_Albert Brooks,a_Robert De Niro
a_Albert Brooks,a_Ryan Gosling
a_Albert Finney,a_Billy Crudup
a_Albert Finney,a_Ethan Coen
a_Albert Finney,a_Ewan McGregor
a_Albert Finney,a_Gabriel Byrne
a_Albert Finney,a_Jessica Lange
a_Albert Finney,a_John Turturro
a_Albert Rémy,a_Claire Maurier
a_Albert Rémy,a_Guy Decomble
a_Albert Rémy,a_Jean-Pierre Léaud
a_Alberto Ammann,a_Antonio Resines
a_Alberto Ammann,a_Luis Tosar
a_Alberto Ammann,a_Manuel Morón
a_Aldo Giuffrè,a_Clint Eastwood
a_Aldo Giuffrè,a_Eli Wallach
a_Aldo Giuffrè,a_Lee Van Cleef
a_Aldo Silvani,a_Anthony Quinn
a_Aldo Silvani,a_Giulietta Masina
a_Aldo Silvani,a_Richard Basehart
a_Alec Baldwin,a_Jack Lemmon
a_Alec Cawthorne,a_John Matthews
a_Alec Cawthorne,a_Laurence Olivier
a_Alec Cawthorne,a_Michael Caine
a_Alec Guinness,a_Anthony Quinn
a_Alec Guinness,a_Carrie Fisher
a_Alec Guinness,a_Cecil Parker
a_Alec Guinness,a_Dennis Price
a_Alec Guinness,a_Harrison Ford
a_Alec Guinness,a_Herbert Lom
a_Alec Guinness,a_Jack Hawkins
a_Alec Guinness,a_Joan Greenwood
a_Alec Guinness,a_Mark Hamill
a_Alec Guinness,a_Peter O'Toole
a_Alec Guinness,a_Peter Sellers
a_Alec Guinness,a_Sessue Hayakawa
a_Alec Guinness,a_Valerie Hobson
a_Alec Guinness,a_William Holden
a_Alec Secareanu,a_Gemma Jones
a_Alec Secareanu,a_Ian Hart
a_Alec Secareanu,a_Josh O'Connor
a_Alejandro Jodorowsky,a_Horacio Salinas
a_Alejandro Jodorowsky,a_Juan Ferrara
a_Alejandro Jodorowsky,a_Zamira Saunders
a_Aleksandr Antonov,a_Grigoriy Aleksandrov
a_Aleksandr Antonov,a_Ivan Bobrov
a_Aleksandr Antonov,a_Vladimir Barskiy
a_Aleksandr Kaydanovskiy,a_Alisa Freyndlikh
a_Aleksandr Kaydanovskiy,a_Anatoliy Solonitsyn
a_Aleksandr Kaydanovskiy,a_Nikolay Grinko
a_Aleksey Kravchenko,a_Liubomiras Laucevicius
a_Aleksey Kravchenko,a_Olga Mironova
a_Aleksey Kravchenko,a_Vladas Bagdonas
a_Aleksey Rozin,a_Marina Vasileva
a_Aleksey Rozin,a_Maryana Spivak
a_Aleksey Rozin,a_Matvey Novikov
a_Aleksey Serebryakov,a_Elena Lyadova
a_Aleksey Serebryakov,a_Roman Madyanov
a_Aleksey Serebryakov,a_Vladimir Vdovichenkov
a_Alex Palmer,a_Christopher Eccleston
a_Alex Palmer,a_Cillian Murphy
a_Alex Palmer,a_Naomie Harris
a_Alex Sharp,a_Eddie Redmayne
a_Alex Sharp,a_Jeremy Strong
a_Alex Sharp,a_Sacha Baron Cohen
a_Alexander Gould,a_Ellen DeGeneres
a_Alexander Gould,a_Lee Unkrich
a_Alexander Granach,a_Greta Schröder
a_Alexander Granach,a_Gustav von Wangenheim
a_Alexander Granach,a_Max Schreck
a_Alexandra Maria Lara,a_Bruno Ganz
a_Alexandra Maria Lara,a_Chris Hemsworth
a_Alexandra Maria Lara,a_Craig Parkinson
a_Alexandra Maria Lara,a_Daniel Brühl
a_Alexandra Maria Lara,a_Juliane Köhler
a_Alexandra Maria Lara,a_Olivia Wilde
a_Alexandra Maria Lara,a_Sam Riley
a_Alexandra Maria Lara,a_Samantha Morton
a_Alexandra Maria Lara,a_Ulrich Matthes
a_Alexandre Rignault,a_Alida Valli
a_Alexandre Rignault,a_Juliette Mayniel
a_Alexandre Rignault,a_Pierre Brasseur
a_Alexandre Rodrigues,a_Kátia Lund
a_Alexandre Rodrigues,a_Leandro Firmino
a_Alexandre Rodrigues,a_Matheus Nachtergaele
a_Alexandre Tharaud,a_Emmanuelle Riva
a_Alexandre Tharaud,a_Isabelle Huppert
a_Alexandre Tharaud,a_Jean-Louis Trintignant
a_Alexandru Potocean,a_Anamaria Marinca
a_Alexandru Potocean,a_Laura Vasiliu
a_Alexandru Potocean,a_Vlad Ivanov
a_Alfred Abel,a_Brigitte Helm
a_Alfred Abel,a_Gustav Fröhlich
a_Alfred Abel,a_Rudolf Klein-Rogge
a_Ali Mosaffa,a_Bérénice Bejo
a_Ali Mosaffa,a_Pauline Burlet
a_Ali Mosaffa,a_Tahar Rahim
a_Alia Bhatt,a_Diljit Dosanjh
a_Alia Bhatt,a_Kareena Kapoor
a_Alia Bhatt,a_Rajit Kapoor
a_Alia Bhatt,a_Shahid Kapoor
a_Alia Bhatt,a_Shishir Sharma
a_Alia Bhatt,a_Vicky Kaushal
a_Alicia Vikander,a_Domhnall Gleeson
a_Alicia Vikander,a_Oscar Isaac
a_Alicia Vikander,a_Sonoya Mizuno
a_Alida Valli,a_Joseph Cotten
a_Alida Valli,a_Juliette Mayniel
a_Alida Valli,a_Orson Welles
a_Alida Valli,a_Pierre Brasseur
a_Alida Valli,a_Trevor Howard
a_Alisa Freyndlikh,a_Anatoliy Solonitsyn
a_Alisa Freyndlikh,a_Nikolay Grinko
a_Alison Crosbie,a_Daniel Day-Lewis
a_Alison Crosbie,a_Pete Postlethwaite
a_Alison Crosbie,a_Philip King
a_Alison Doody,a_Denholm Elliott
