date,count
1920,1
1921,1
1922,1
1924,1
1925,2
1926,1
1927,2
1928,2
1930,1
1931,3
1932,2
1933,3
1934,2
1935,3
1936,1
1937,1
1938,3
1939,5
1940,7
1941,2
1942,3
1943,1
1944,4
1945,2
1946,5
1947,2
1948,6
1949,3
1950,5
1951,5
1952,4
1953,5
1954,6
1955,6
1956,5
1957,9
1958,4
1959,7
1960,11
1961,5
1962,13
1963,5
1964,7
1965,4
1966,7
1967,10
1968,8
1969,3
1970,3
1971,9
1972,8
1973,12
1974,6
1975,9
1976,7
1977,3
1978,7
1979,12
1980,8
1981,4
1982,11
1983,5
1984,9
1985,9
1986,9
1987,12
1988,11
1989,11
1990,8
1991,12
1992,12
1993,23
1994,13
1995,19
1996,10
1997,19
1998,17
1999,17
2000,19
2001,27
2002,19
2003,22
2004,31
2005,17
2006,26
2007,26
2008,21
2009,29
2010,23
2011,18
2012,24
2013,28
2014,32
2015,25
2016,28
2017,22
2018,19
2019,23
2020,6
