actor,films_cnt,actors_cnt
Aamir Bashir,1,3
Aamir Khan,8,23
Aaron Eckhart,1,3
Aaron Taylor-Johnson,1,3
Abdel Ahmed Ghili,1,3
Abhay Deol,2,6
Abigail Breslin,1,3
Abraham Attah,1,3
Adam Baldwin,1,3
Adam Driver,1,3
Adel Bencherif,1,3
Adesh Prasad,1,3
Adil Hussain,2,6
Adolphe Menjou,1,3
Adrian Molina,1,3
Adrien Brody,3,9
Adèle Exarchopoulos,1,3
Adèle Haenel,1,3
Agnes Moorehead,1,3
Ahmet Mümtaz Taylan,1,3
Ahna Capri,1,3
Ahney Her,1,3
Aidan Gillen,1,3
Aitana Sánchez-Gijón,1,3
Ajay Devgn,1,3
Ajay Naidu,1,3
Akemi Yamaguchi,1,3
Aki Maeda,1,3
Akihiro Miwa,1,3
Akio Ôtsuka,1,3
Akira Ishihama,1,3
Akira Terao,1,3
Akshay Kumar,5,14
Akshaye Khanna,1,3
Al Ernest Garcia,1,3
Al Pacino,13,35
Alain Delon,1,3
Alakina Mann,1,3
Alan Alda,1,3
Alan Arkin,3,9
Alan Badel,1,3
Alan Mak,1,3
Alan Randolph Scott,1,3
Alan Rickman,1,3
Alan Ruck,1,3
Alan Tudyk,2,6
Albert Brooks,3,9
Albert Finney,2,6
Albert Rémy,1,3
Alberto Ammann,1,3
Aldo Giuffrè,1,3
Aldo Silvani,1,3
Alec Baldwin,1,3
Alec Cawthorne,1,3
Alec Guinness,5,14
Alec Secareanu,1,3
Alejandro Jodorowsky,1,3
Aleksandr Antonov,1,3
Aleksandr Kaydanovskiy,1,3
Aleksey Kravchenko,1,3
Aleksey Rozin,1,3
Aleksey Serebryakov,1,3
Alex Palmer,1,3
Alex Sharp,1,3
Alexander Gould,1,3
Alexander Granach,1,3
Alexandra Maria Lara,3,9
Alexandre Rignault,1,3
Alexandre Rodrigues,1,3
Alexandre Tharaud,1,3
Alexandru Potocean,1,3
Alfred Abel,1,3
Ali Mosaffa,1,3
Alia Bhatt,2,6
Alicia Vikander,1,3
Alida Valli,2,6
Alisa Freyndlikh,1,3
Alison Crosbie,1,3
Alison Doody,1,3
Alison Whelan,1,3
Allen Garfield,1,3
Allen Leech,1,3
Allison Williams,1,3
Ally Sheedy,1,3
Altan Erkekli,1,3
America Ferrera,1,3
Amir Farrokh Hashemian,1,3
Amira Casar,1,3
Amit Sadh,1,3
Amitabh Bachchan,4,12
Amjad Khan,1,3
Amole Gupte,1,3
Amrish Puri,1,3
Amrita Puri,1,3
Amy Adams,3,9
Amy Poehler,2,6
Amy Ryan,2,6
Amy Smart,1,3
Ana López Mercado,1,3
Ana Wagener,1,3
Ana de Armas,2,6
Anamaria Marinca,1,3
Anand Gandhi,1,3
Ananda George,1,3
Anatoliy Solonitsyn,2,5
Andie MacDowell,2,6
Andrea Eckert,1,3
Andrea Riseborough,1,3
Andrea Tariang,1,3
Andreas Wilson,1,3
Andrew Adote,1,3
Andrew Garfield,2,6
Andrew Kevin Walker,1,3
Andrew Marton,1,3
Andrew Philpot,1,3
Andrew Robinson,1,3
Andrew Shim,1,3
André Berley,1,3
André Ramiro,2,4
André S. Labarthe,1,3
